tile_no,color,name,probi,expected_income,expected_return,rank
0,,Go,0.031101556,,,
1,brown,Mediterranean Avenue,0.02148037,3.436859231,0.013218689,22
2,,Community chest,0.018955601,,,
3,brown,Baltic Avenue,0.021805648,6.977807451,0.026837721,19
4,,Income tax,0.023445885,,,
5,,Reading Railroad,0.029863356,,,
6,cyan,Oriental Avenue,0.022785302,9.114120953,0.030380403,12
7,,Chance,0.008732507,,,
8,cyan,Vermont Avenue,0.023390788,9.356315221,0.031187717,8
9,cyan,Connecticut Avenue,0.023223525,10.45058629,0.032658082,6
10,,Jail,0.058886696,,,
11,pink,St. Charles Place,0.027267009,17.04188091,0.031559039,7
12,,Electric Company,0.026217056,,,
13,pink,States Avenue,0.023842275,14.90142161,0.027595225,16
14,pink,Virginia Avenue,0.024700033,17.29002279,0.030875041,9
15,,Pennsylvania Railroad,0.029241255,,,
16,orange,St. James Place,0.027874109,20.90558145,0.036044106,4
17,,Community chest,0.025852202,,,
18,orange,Tennessee Avenue,0.029287827,21.96587024,0.03787219,2
19,orange,New York Avenue,0.030812134,24.64970702,0.041082845,1
20,,Free parking,0.02882826,,,
21,red,Kentucky Avenue,0.028367711,24.82174756,0.030270424,13
22,,Chance,0.010494505,,,
23,red,Indiana Avenue,0.027411853,23.98537173,0.029250453,15
24,red,Illinois Avenue,0.03191513,29.52149554,0.035144638,5
25,,B. & O. Railroad,0.030687484,,,
26,yellow,Atlantic Avenue,0.027106996,26.42932079,0.030731768,10
27,yellow,Ventnor Avenue,0.02682791,26.15721221,0.030415363,11
28,,Water works,0.028135673,,,
29,yellow,Marvin Gardens,0.02592679,26.57495935,0.030198817,14
30,,Go to jail,0,,,
31,green,Pacific Avenue,0.026865342,29.55187589,0.026865342,18
32,green,North Carolina Avenue,0.026334364,28.96780042,0.026334364,20
33,,Community chest,0.023758112,,,
34,green,Pennsylvania Avenue,0.02509362,30.11234351,0.026886021,17
35,,Short line,0.024443968,,,
36,,Chance,0.008707751,,,
37,blue,Park Place,0.021997433,28.59666288,0.024866663,21
38,,Luxury tax,0.021900868,,,
39,blue,Boardwalk,0.026431094,44.93285907,0.037444049,3
