tile_no,color,name,probi,expected_income,expected_return,rank
0,,Go,0.031101556,,,
1,brown,Mediterranean Avenue,0.02148037,0.214803702,0.001952761,22
2,,Community chest,0.018955601,,,
3,brown,Baltic Avenue,0.021805648,0.436112966,0.003964663,21
4,,Income tax,0.023445885,,,
5,,Reading Railroad,0.029863356,,,
6,cyan,Oriental Avenue,0.022785302,0.683559071,0.00455706,20
7,,Chance,0.008732507,,,
8,cyan,Vermont Avenue,0.023390788,0.701723642,0.004678158,19
9,cyan,Connecticut Avenue,0.023223525,0.928941003,0.005464359,17
10,,Jail,0.058886696,,,
11,pink,St. Charles Place,0.027267009,1.363350473,0.005680627,16
12,,Electric Company,0.026217056,,,
13,pink,States Avenue,0.023842275,1.192113729,0.004967141,18
14,pink,Virginia Avenue,0.024700033,1.482001954,0.005700008,15
15,,Pennsylvania Railroad,0.029241255,,,
16,orange,St. James Place,0.027874109,1.951187602,0.006968527,11
17,,Community chest,0.025852202,,,
18,orange,Tennessee Avenue,0.029287827,2.050147889,0.007321957,4
19,orange,New York Avenue,0.030812134,2.464970702,0.008216569,2
20,,Free parking,0.02882826,,,
21,red,Kentucky Avenue,0.028367711,2.553094034,0.006900254,12
22,,Chance,0.010494505,,,
23,red,Indiana Avenue,0.027411853,2.467066806,0.006667748,14
24,red,Illinois Avenue,0.03191513,3.191513031,0.008183367,3
25,,B. & O. Railroad,0.030687484,,,
26,yellow,Atlantic Avenue,0.027106996,2.981769525,0.007272609,5
27,yellow,Ventnor Avenue,0.02682791,2.951070095,0.007197732,8
28,,Water works,0.028135673,,,
29,yellow,Marvin Gardens,0.02592679,3.111214753,0.007235383,7
30,,Go to jail,0,,,
31,green,Pacific Avenue,0.026865342,3.492494424,0.006984989,10
32,green,North Carolina Avenue,0.026334364,3.423467322,0.006846935,13
33,,Community chest,0.023758112,,,
34,green,Pennsylvania Avenue,0.02509362,3.764042938,0.007238544,6
35,,Short line,0.024443968,,,
36,,Chance,0.008707751,,,
37,blue,Park Place,0.021997433,3.849550772,0.006999183,9
38,,Luxury tax,0.021900868,,,
39,blue,Boardwalk,0.026431094,5.286218714,0.008810365,1
