tile_no,color,name,probi,expected_income,expected_return,rank
0,,Go,0.031101556,,,
1,brown,Mediterranean Avenue,0.02148037,1.933233318,0.009205873,22
2,,Community chest,0.018955601,,,
3,brown,Baltic Avenue,0.021805648,3.925016691,0.018690556,21
4,,Income tax,0.023445885,,,
5,,Reading Railroad,0.029863356,,,
6,cyan,Oriental Avenue,0.022785302,6.152031643,0.024608127,19
7,,Chance,0.008732507,,,
8,cyan,Vermont Avenue,0.023390788,6.315512774,0.025262051,18
9,cyan,Connecticut Avenue,0.023223525,6.967057525,0.025803917,16
10,,Jail,0.058886696,,,
11,pink,St. Charles Place,0.027267009,12.27015426,0.027886714,11
12,,Electric Company,0.026217056,,,
13,pink,States Avenue,0.023842275,10.72902356,0.024384144,20
14,pink,Virginia Avenue,0.024700033,12.35001628,0.026847861,14
15,,Pennsylvania Railroad,0.029241255,,,
16,orange,St. James Place,0.027874109,15.33075973,0.031939083,5
17,,Community chest,0.025852202,,,
18,orange,Tennessee Avenue,0.029287827,16.10830484,0.033558968,4
19,orange,New York Avenue,0.030812134,18.48728026,0.036974561,2
20,,Free parking,0.02882826,,,
21,red,Kentucky Avenue,0.028367711,19.85739804,0.029637908,9
22,,Chance,0.010494505,,,
23,red,Indiana Avenue,0.027411853,19.18829738,0.02863925,10
24,red,Illinois Avenue,0.03191513,23.93634773,0.034690359,3
25,,B. & O. Railroad,0.030687484,,,
26,yellow,Atlantic Avenue,0.027106996,21.68559654,0.030543094,6
27,yellow,Ventnor Avenue,0.02682791,21.46232797,0.030228631,7
28,,Water works,0.028135673,,,
29,yellow,Marvin Gardens,0.02592679,22.03777117,0.030188728,8
30,,Go to jail,0,,,
31,green,Pacific Avenue,0.026865342,24.17880755,0.026865342,13
32,green,North Carolina Avenue,0.026334364,23.70092762,0.026334364,15
33,,Community chest,0.023758112,,,
34,green,Pennsylvania Avenue,0.02509362,25.09361959,0.027275673,12
35,,Short line,0.024443968,,,
36,,Chance,0.008707751,,,
37,blue,Park Place,0.021997433,24.19717628,0.025470712,17
38,,Luxury tax,0.021900868,,,
39,blue,Boardwalk,0.026431094,37.003531,0.037003531,1
