tile_no,color,name,probi,expected_income,expected_return,rank
0,,Go,0.031101556,,,
1,brown,Mediterranean Avenue,0.02148037,0.644411106,0.004027569,22
2,,Community chest,0.018955601,,,
3,brown,Baltic Avenue,0.021805648,1.308338897,0.008177118,21
4,,Income tax,0.023445885,,,
5,,Reading Railroad,0.029863356,,,
6,cyan,Oriental Avenue,0.022785302,2.050677214,0.010253386,20
7,,Chance,0.008732507,,,
8,cyan,Vermont Avenue,0.023390788,2.105170925,0.010525855,18
9,cyan,Connecticut Avenue,0.023223525,2.322352508,0.010556148,17
10,,Jail,0.058886696,,,
11,pink,St. Charles Place,0.027267009,4.090051419,0.012029563,16
12,,Electric Company,0.026217056,,,
13,pink,States Avenue,0.023842275,3.576341187,0.010518651,19
14,pink,Virginia Avenue,0.024700033,4.446005861,0.012350016,15
15,,Pennsylvania Railroad,0.029241255,,,
16,orange,St. James Place,0.027874109,5.57482172,0.014670583,11
17,,Community chest,0.025852202,,,
18,orange,Tennessee Avenue,0.029287827,5.857565398,0.015414646,8
19,orange,New York Avenue,0.030812134,6.778669429,0.016946674,3
20,,Free parking,0.02882826,,,
21,red,Kentucky Avenue,0.028367711,7.091927873,0.013638323,13
22,,Chance,0.010494505,,,
23,red,Indiana Avenue,0.027411853,6.85296335,0.013178776,14
24,red,Illinois Avenue,0.03191513,9.574539093,0.017730628,2
25,,B. & O. Railroad,0.030687484,,,
26,yellow,Atlantic Avenue,0.027106996,8.945308574,0.015973765,5
27,yellow,Ventnor Avenue,0.02682791,8.853210286,0.015809304,6
28,,Water works,0.028135673,,,
29,yellow,Marvin Gardens,0.02592679,9.333644258,0.01609249,4
30,,Go to jail,0,,,
31,green,Pacific Avenue,0.026865342,10.47748327,0.014967833,9
32,green,North Carolina Avenue,0.026334364,10.27040197,0.014672003,10
33,,Community chest,0.023758112,,,
34,green,Pennsylvania Avenue,0.02509362,11.29212882,0.015683512,7
35,,Short line,0.024443968,,,
36,,Chance,0.008707751,,,
37,blue,Park Place,0.021997433,10.99871649,0.014664955,12
38,,Luxury tax,0.021900868,,,
39,blue,Boardwalk,0.026431094,15.85865614,0.01982332,1
